record,detected,annotated,precision,recall,f1
100,2272,2273,0.99955985915493,0.99912010558733,0.999339933993399
101,1869,1865,0.996789727126806,0.998927613941019,0.997857525441885
103,2083,2084,1,0.999520153550864,0.999760019198464
105,2622,2572,0.97254004576659,0.99144634525661,0.9819021948402
111,2123,2124,0.997173810645313,0.996704331450094,0.996939015775842
119,2027,1987,0.980266403552047,1,0.990034877927255
122,2477,2476,0.999596285829633,1,0.999798102160307
205,2654,2656,0.991333835719668,0.99058734939759,0.990960451977401
213,3249,3251,0.989535241612804,0.98892648415872,0.989230769230769
223,2602,2605,0.968870099923136,0.967754318618042,0.968311887843288
